data_pregao,data_vencimento,K,cod_negociacao,T,S,r,sigma,cotacao_op,moneyness,call_price_bs,call_price_lstm
2023-01-05,2023-01-20,78.16,VALEA10-2023-78.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,12.35,ITM,13.413221656479365,12.9466715
2023-01-05,2023-01-20,108.16,VALEA100-2023-108.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.04,OTM,0.037544380514604514,0.050736904
2023-01-05,2023-01-20,80.16,VALEA101-2023-80.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,11.42,ITM,11.487872393368505,11.169284
2023-01-05,2023-01-20,82.16,VALEA103-2023-82.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,9.43,ITM,9.621684807190263,9.145322
2023-01-05,2023-01-20,84.16,VALEA105-2023-84.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,8.0,ITM,7.850856744366439,7.316
2023-01-05,2023-01-20,110.16,VALEA106-2023-110.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.03,OTM,0.018601078549186467,0.028772235
2023-01-05,2023-01-20,86.16,VALEA107-2023-86.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,5.94,ITM,6.21753853919661,5.7357306
2023-01-05,2023-01-20,116.16,VALEA108-2023-116.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.01,OTM,0.0018343236335389562,-0.012941599
2023-01-05,2023-01-20,102.16,VALEA109-2023-102.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.14,OTM,0.24583369997846027,0.1832661
2023-01-05,2023-01-20,88.16,VALEA11-2023-88.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,4.28,ATM,4.762916639326178,4.06689
2023-01-05,2023-01-20,112.16,VALEA110-2023-112.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.02,OTM,0.008891259216116887,0.01205492
2023-01-05,2023-01-20,90.16,VALEA111-2023-90.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,2.95,ATM,3.5189763417275586,2.855826
2023-01-05,2023-01-20,92.16,VALEA113-2023-92.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,1.98,ATM,2.501792321197428,1.7222266
2023-01-05,2023-01-20,94.16,VALEA115-2023-94.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,1.14,ATM,1.7086877299673304,1.0292128
2023-01-05,2023-01-20,96.16,VALEA117-2023-96.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.64,OTM,1.119972103462331,0.58764374
2023-01-05,2023-01-20,120.16,VALEA120-2023-120.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.01,OTM,0.0003333133184130685,-0.033222437
2023-01-05,2023-01-20,100.16,VALEA609-2023-100.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.22,OTM,0.4247213070301328,0.26644886
2023-01-05,2023-01-20,69.16,VALEA764-2023-69.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,20.95,ITM,22.299790630267438,21.686298
2023-01-05,2023-01-20,71.16,VALEA784-2023-71.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,20.7,ITM,20.316486889506493,19.746536
2023-01-05,2023-01-20,73.16,VALEA804-2023-73.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,17.8,ITM,18.334566272701593,17.712038
2023-01-05,2023-01-20,75.16,VALEA824-2023-75.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,16.51,ITM,16.356748572518768,15.909549
2023-01-05,2023-01-20,79.16,VALEA827-2023-79.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,12.61,ITM,12.445055886968802,12.048877
2023-01-05,2023-01-20,77.16,VALEA844-2023-77.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,14.36,ITM,14.389374282440201,13.995066
2023-01-05,2023-01-20,81.16,VALEA847-2023-81.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,10.9,ITM,10.545321821086674,10.161211
2023-01-05,2023-01-20,83.16,VALEA867-2023-83.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,8.59,ITM,8.721787721340263,8.218404
2023-01-05,2023-01-20,85.16,VALEA887-2023-85.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,6.75,ITM,7.014315393874455,6.4814806
2023-01-05,2023-01-20,68.16,VALEA900-2023-68.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,23.8,ITM,23.291618194579655,22.613108
2023-01-05,2023-01-20,104.16,VALEA91-2023-104.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.09,OTM,0.13664932153908627,0.12303352
2023-01-05,2023-01-20,87.16,VALEA910-2023-87.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,5.1,ATM,5.465582687265609,4.750311
2023-01-05,2023-01-20,70.16,VALEA92-2023-70.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,19.55,ITM,21.308052313625552,20.757158
2023-01-05,2023-01-20,89.16,VALEA927-2023-89.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,3.7,ATM,4.113177709254181,3.4643703
2023-01-05,2023-01-20,114.16,VALEA93-2023-114.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,0.01,OTM,0.004105914412943057,-0.001408577
2023-01-05,2023-01-20,72.16,VALEA94-2023-72.16,0.05952380952380952,90.9,0.13649989315282562,0.310163790847577,17.5,ITM,19.325241930056535,18.719973
