epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,10.155594825744629,1.7651528120040894,7.566788196563721,1.6013768911361694
1,0.0010000000474974513,7.995873928070068,1.4353516101837158,5.6813178062438965,1.5367485284805298
2,0.0010000000474974513,3.7202577590942383,1.1305408477783203,3.6445603370666504,1.2842923402786255
3,0.0010000000474974513,3.3377809524536133,1.0434331893920898,2.83664608001709,1.0660009384155273
4,0.0010000000474974513,2.421121597290039,0.9452986121177673,2.130011796951294,0.9388432502746582
5,0.0010000000474974513,1.8661725521087646,0.8175543546676636,1.8498049974441528,0.8694562911987305
6,0.0010000000474974513,1.3892918825149536,0.678256630897522,1.5704563856124878,0.7964875102043152
7,0.0010000000474974513,1.0165032148361206,0.5829694867134094,1.180767297744751,0.7021697163581848
8,0.0010000000474974513,0.7853960990905762,0.5008771419525146,0.9911237359046936,0.6386892199516296
9,0.0010000000474974513,0.7692404389381409,0.5035325884819031,0.9203712344169617,0.6142937541007996
10,0.0010000000474974513,0.7314046621322632,0.48765629529953003,0.8171886801719666,0.5781760215759277
11,0.0010000000474974513,0.6082690358161926,0.4340478479862213,0.8316898345947266,0.5876430869102478
12,0.0010000000474974513,0.5956479907035828,0.4507386386394501,0.7442654967308044,0.5610536932945251
13,0.0010000000474974513,0.4876461625099182,0.3873767852783203,0.7802407741546631,0.5662333965301514
14,0.0010000000474974513,0.5539490580558777,0.4307161569595337,0.7481974959373474,0.5588274598121643
15,0.0010000000474974513,0.49279117584228516,0.3835534155368805,0.7375842928886414,0.5546550750732422
16,0.0010000000474974513,0.5062769055366516,0.40822869539260864,0.625819742679596,0.5119863152503967
17,0.0010000000474974513,0.4462127387523651,0.3787750005722046,0.6712955832481384,0.5342831611633301
18,0.0010000000474974513,0.43957480788230896,0.3739210069179535,0.6517924070358276,0.5262517929077148
19,0.0010000000474974513,0.4029809236526489,0.3551959991455078,0.6489061713218689,0.5254018306732178
20,0.0010000000474974513,0.410549521446228,0.3567452132701874,0.6582635045051575,0.530276894569397
21,0.0010000000474974513,0.39572054147720337,0.3451225459575653,0.6652751564979553,0.5336719155311584
22,0.00020000000949949026,0.3031558096408844,0.32271814346313477,0.9259970784187317,0.6645645499229431
23,0.00020000000949949026,0.2626414895057678,0.3018331527709961,0.9216598272323608,0.6580423712730408
24,0.00020000000949949026,0.24839894473552704,0.29272791743278503,0.915231466293335,0.6543350219726562
25,0.00020000000949949026,0.237540140748024,0.2853882908821106,0.9127224087715149,0.6528159976005554
26,0.00020000000949949026,0.22971375286579132,0.28006020188331604,0.9084199070930481,0.650492250919342
27,4.0000002627493814e-05,0.2666792869567871,0.3110744059085846,0.9083328247070312,0.6604495048522949
28,4.0000002627493814e-05,0.2414463609457016,0.29983365535736084,0.89720219373703,0.6545528173446655
29,4.0000002627493814e-05,0.23485597968101501,0.295775443315506,0.8888468742370605,0.6497216820716858
30,4.0000002627493814e-05,0.23009835183620453,0.29253920912742615,0.883178174495697,0.6464276313781738
31,4.0000002627493814e-05,0.22589261829853058,0.28945791721343994,0.8805181980133057,0.64427649974823
32,8.000000889296643e-06,0.3025282919406891,0.350334495306015,0.7828406095504761,0.5846138596534729
33,8.000000889296643e-06,0.27183961868286133,0.32552820444107056,0.7896738648414612,0.5867056250572205
34,8.000000889296643e-06,0.2656277120113373,0.32034599781036377,0.7912668585777283,0.587013840675354
35,8.000000889296643e-06,0.26128336787223816,0.31647157669067383,0.7923558354377747,0.5874969363212585
36,8.000000889296643e-06,0.25775325298309326,0.31337854266166687,0.793186604976654,0.5881838798522949
