data_vencimento,K,cod_negociacao,T,S,r,sigma,cotacao_op,moneyness,call_price_bs,call_price_lstm
2023-01-20,78.16,VALEA10-2023-78.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,12.35,ITM,22.27048065360055,13.605066
2023-01-20,108.16,VALEA100-2023-108.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.04,OTM,10.236719478571334,0.18761528
2023-01-20,80.16,VALEA101-2023-80.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,11.42,ITM,21.189137087892917,11.556357
2023-01-20,82.16,VALEA103-2023-82.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,9.43,ITM,20.152538019847306,9.766982
2023-01-20,84.16,VALEA105-2023-84.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,8.0,ITM,19.1597341831341,8.083697
2023-01-20,110.16,VALEA106-2023-110.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.03,OTM,9.704246537948109,0.17288429
2023-01-20,86.16,VALEA107-2023-86.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,5.94,ITM,18.20968880443767,6.7019773
2023-01-20,116.16,VALEA108-2023-116.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.01,OTM,8.262124073810643,0.15013659
2023-01-20,102.16,VALEA109-2023-102.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.14,OTM,12.006222290576588,0.3330374
2023-01-20,88.16,VALEA11-2023-88.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,4.28,ATM,17.301292665814785,4.8462205
2023-01-20,112.16,VALEA110-2023-112.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.02,OTM,9.198432270140511,0.1616115
2023-01-20,90.16,VALEA111-2023-90.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,2.95,ATM,16.433378043023133,3.710582
2023-01-20,92.16,VALEA113-2023-92.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,1.98,ATM,15.604731493985042,2.6797814
2023-01-20,94.16,VALEA115-2023-94.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,1.14,ATM,14.814105497806956,1.7243748
2023-01-20,96.16,VALEA117-2023-96.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.64,OTM,14.060228965391453,1.0222772
2023-01-20,120.16,VALEA120-2023-120.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.01,OTM,7.418805086361907,0.14058942
2023-01-20,100.16,VALEA609-2023-100.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.22,OTM,12.657577565353456,0.44896197
2023-01-20,69.16,VALEA764-2023-69.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,20.95,ITM,27.709869019609897,22.240917
2023-01-20,71.16,VALEA784-2023-71.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,20.7,ITM,26.41861682230575,20.297852
2023-01-20,73.16,VALEA804-2023-73.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,17.8,ITM,25.174844699010094,18.41145
2023-01-20,75.16,VALEA824-2023-75.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,16.51,ITM,23.978209227285824,16.538328
2023-01-20,79.16,VALEA827-2023-79.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,12.61,ITM,21.724160331718565,12.573176
2023-01-20,77.16,VALEA844-2023-77.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,14.36,ITM,22.828200392555807,14.615086
2023-01-20,81.16,VALEA847-2023-81.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,10.9,ITM,20.665301585873678,10.638094
2023-01-20,83.16,VALEA867-2023-83.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,8.59,ITM,19.650724626857503,8.910239
2023-01-20,85.16,VALEA887-2023-85.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,6.75,ITM,18.67943448365685,7.3604746
2023-01-20,68.16,VALEA900-2023-68.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,23.8,ITM,28.37335725262689,23.225372
2023-01-20,104.16,VALEA91-2023-104.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.09,OTM,11.386469519668488,0.25440237
2023-01-20,87.16,VALEA910-2023-87.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,5.1,ATM,17.750356347143985,5.5227365
2023-01-20,70.16,VALEA92-2023-70.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,19.55,ITM,27.05829347320156,21.262238
2023-01-20,89.16,VALEA927-2023-89.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,3.7,ATM,16.862350075533307,4.2085657
2023-01-20,114.16,VALEA93-2023-114.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.01,OTM,8.71810497584811,0.15554726
2023-01-20,72.16,VALEA94-2023-72.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,17.5,ITM,25.79081308903814,19.349148
2023-01-20,91.16,VALEA947-2023-91.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,2.4,ATM,16.014223559224156,3.186001
2023-01-20,106.16,VALEA95-2023-106.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,0.06,OTM,10.797051625002581,0.20965195
2023-01-20,74.16,VALEA96-2023-74.16,0.05952380952380952,90.9,0.13649989315282562,1.80201774173532,15.38,ITM,24.570663074491492,17.475227
